fdc_id,protein_g,fat_g,carbs_g,energy_kcal,fiber_g,food_name,dry_mass_g,energy_density,protein_ratio,fat_ratio,carbs_ratio,protein_category
167604,1.75,0.08,19.16,84.0,1.8,"Potatoes, hash brown, refrigerated, unprepared",22.790000000000003,3.5308953341740223,0.0735603194619588,0.0033627574611181164,0.8053804119377889,Low Protein
167605,3.24,10.3,33.99,242.0,3.6,"Potatoes, hash brown, refrigerated, prepared, pan-fried in canola oil",51.13,4.642240552464991,0.06215231152887013,0.19758296566276617,0.6520237866871283,Low Protein
167606,2.16,8.92,35.58,182.0,5.7,"Sweet Potatoes, french fried, frozen as packaged, salt added in processing",52.36,3.4107946026986506,0.040479760119940034,0.1671664167916042,0.6667916041979011,Low Protein
167607,22.3,1.5,0.0,103.0,0.0,"Moose, meat, raw (Alaska Native)",23.8,4.153225806451613,0.8991935483870968,0.06048387096774193,0.0,High Protein
167615,39.9,30.0,0.0,430.0,0.0,"Fish, salmon, king, chinook, smoked, brined (Alaska Native)",69.9,6.064880112834978,0.5627644569816642,0.42313117066290545,0.0,High Protein
167627,0.66,0.49,11.74,54.0,1.1,"Mush, blue corn with ash (Navajo)",13.99,3.602401601067378,0.044029352901934625,0.03268845897264843,0.7831887925283523,Low Protein
167628,10.4,5.44,76.93,398.0,8.7,"Cornmeal, blue (Navajo)",101.47000000000001,3.884063628379037,0.10149311993754269,0.05308870889040695,0.7507563189226115,Low Protein
167629,0.84,0.2,4.06,21.0,0.3,"Melon, banana (Navajo)",5.3999999999999995,3.2812500000000004,0.13125,0.03125000000000001,0.634375,Low Protein
167632,0.31,0.15,3.22,16.0,1.5,"Squash, Indian, cooked, boiled (Navajo)",5.18,2.5889967637540456,0.05016181229773463,0.024271844660194174,0.5210355987055016,Low Protein
167636,6.28,6.12,18.12,153.0,3.1,Tamales (Navajo),33.620000000000005,4.419410745233968,0.18139803581744654,0.17677642980935873,0.5233968804159445,Medium Protein
167637,8.82,3.75,10.8,112.0,2.3,"Stew, steamed corn (Navajo)",25.67,4.199475065616798,0.3307086614173228,0.140607424071991,0.4049493813273341,High Protein
167638,20.53,2.92,1.81,116.0,0.0,"Fish, halibut, raw, with skin (Alaska Native)",25.26,4.417364813404417,0.7817974105102818,0.11119573495811119,0.06892612338156892,High Protein
167639,22.56,5.57,0.0,140.0,0.0,"Fish, salmon, coho (silver), raw (Alaska Native)",28.13,4.806041881222108,0.7744593202883625,0.1912118091314796,0.0,High Protein
167640,1.22,0.76,12.31,61.0,2.6,"Blueberries, wild, raw (Alaska Native)",16.89,3.4097261039686977,0.06819452207937395,0.042481833426495245,0.6880939072107323,Low Protein
167641,0.0,99.32,0.0,894.0,0.0,"Oil, spotted seal (Alaska Native)",99.32,8.911483253588518,0.0,0.9900318979266348,0.0,Low Protein
167642,27.31,5.76,0.0,161.0,0.0,"Fish, salmon, red, canned, bones removed (Alaska Native)",33.07,4.725565013208101,0.8015849721162313,0.1690636923980041,0.0,High Protein
167643,14.66,2.88,4.89,104.0,0.0,"Fish, whitefish, eggs (Alaska Native)",22.43,4.438753734528382,0.6256935552710201,0.12291933418693982,0.2087067861715749,High Protein
167644,52.06,5.23,0.0,255.0,0.0,"Caribou, rump meat, half dried (Alaska Native)",57.290000000000006,4.374678332475553,0.8931206038771659,0.0897237948190084,0.0,High Protein
167645,35.19,7.26,0.0,206.0,0.0,"Fish, salmon, red, (sockeye), canned, smoked (Alaska Native)",42.449999999999996,4.74108170310702,0.8098964326812428,0.1670886075949367,0.0,High Protein
167646,24.5,4.75,0.0,141.0,0.0,"Fish, salmon, red, (sockeye), kippered (Alaska Native)",29.25,4.661157024793388,0.8099173553719008,0.15702479338842976,0.0,High Protein
167647,23.19,12.95,0.0,209.0,0.0,"Fish, salmon, king, with skin, kippered, (Alaska Native)",36.14,5.627355950457727,0.624394184168013,0.34868066774367257,0.0,High Protein
167648,22.25,2.84,0.0,115.0,0.0,"Fish, sheefish, raw (Alaska Native)",25.09,4.407819087773093,0.8528171713300116,0.10885396703717899,0.0,High Protein
167652,19.74,2.1,0.0,98.0,0.0,"Elk, free range, roast, eye of round, raw (Shoshone Bannock)",21.84,4.2907180385288965,0.8642732049036776,0.09194395796847636,0.0,High Protein
167653,14.48,10.64,66.27,419.0,20.5,"Corn, dried, yellow (Northern Plains Indians)",111.89,3.711577641952343,0.12826645407033396,0.09425104083621225,0.587031623704491,Low Protein
167654,56.19,17.9,0.0,386.0,0.0,"Smelt, dried (Alaska Native)",74.09,5.140498068983886,0.748302037554934,0.23838060993474494,0.0,High Protein
167655,8.38,10.14,46.01,309.0,1.7,"Frybread, made with lard (Apache)",66.23,4.596162427487728,0.12464673508850216,0.15082552431950022,0.6843670980217165,Low Protein
167656,7.91,8.31,29.35,224.0,1.5,Corned beef and potatoes in tortilla (Apache),47.07,4.659871021427086,0.16455169544414397,0.17287289369669234,0.6105679217807365,Medium Protein
167657,13.19,11.05,19.28,229.0,1.8,"ON THE BORDER, soft taco with ground beef, cheese and lettuce",45.32,4.943868739205527,0.28475820379965455,0.23855785837651125,0.4162348877374784,High Protein
167658,12.56,10.81,17.92,219.0,1.5,"Restaurant, Mexican, soft taco with ground beef, cheese and lettuce",42.790000000000006,5.00114181319936,0.2868234756793788,0.24686001370175836,0.4092258506508335,High Protein
167659,12.02,5.06,20.03,174.0,1.2,"Restaurant, Latino, chicken and rice, entree, prepared",38.31,4.426354617145765,0.3057746120580005,0.1287204273721699,0.5095395573645383,High Protein
167660,11.31,18.37,31.19,335.0,2.0,"Restaurant, Latino, empanadas, beef, prepared",62.870000000000005,5.2450289650853295,0.17707844058243305,0.2876154689212463,0.48833568185376547,Medium Protein
167661,5.59,9.01,31.49,229.0,5.8,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",51.88999999999999,4.329740971828324,0.10569105691056911,0.1703535640007563,0.5953866515409341,Low Protein
167662,11.72,13.25,22.39,256.0,2.9,"Restaurant, Latino, pupusas con queso (pupusas, cheese)",50.26,4.99414748341787,0.22863831447522437,0.25848614904408895,0.4367928209129926,Medium Protein
167663,11.51,10.43,23.02,232.0,2.6,"Restaurant, Latino, pupusas del cerdo (pupusas, pork)",47.559999999999995,4.777594728171335,0.23702635914332787,0.2147858319604613,0.47405271828665574,Medium Protein
167664,3.48,7.21,26.68,186.0,3.2,"Restaurant, Latino, tamale, corn",40.57,4.474380562905941,0.0837142169834015,0.1734423863363002,0.6418089968727447,Low Protein
167665,3.28,5.29,31.16,185.0,1.2,"Restaurant, Mexican, spanish rice",40.93000000000001,4.4121154304793695,0.07822561411876935,0.12616265203911278,0.743143334128309,Low Protein
167666,6.91,6.77,16.79,156.0,8.0,"Restaurant, Mexican, refried beans",38.47,3.9523688877628578,0.17506967316949582,0.17152267544970864,0.4253863693944768,Medium Protein
167667,8.28,11.94,27.29,250.0,2.6,"Restaurant, Chinese, egg rolls, assorted",50.11,4.891410682840931,0.16200352181569164,0.23361377421248286,0.5339463901389161,Medium Protein
167668,4.05,2.96,32.79,174.0,1.1,"Restaurant, Chinese, fried rice, without meat",40.9,4.1527446300715996,0.09665871121718377,0.07064439140811456,0.7825775656324583,Low Protein
167669,3.26,13.18,30.87,255.0,3.5,"CRACKER BARREL, steak fries",50.81,4.921829762594093,0.06292221578845782,0.2543910441999614,0.595830920671685,Low Protein
167671,6.46,11.51,15.58,192.0,0.7,"CRACKER BARREL, macaroni n' cheese plate, from kid's menu",34.25,5.446808510638298,0.18326241134751772,0.32652482269503547,0.4419858156028369,Medium Protein
167672,3.41,14.13,35.2,282.0,3.5,"DENNY'S, french fries",56.24,4.926624737945493,0.05957372466806429,0.2468553459119497,0.6149545772187281,Low Protein
167674,11.87,13.55,20.61,252.0,1.0,"Restaurant, Chinese, lemon chicken",47.03,5.246720799500312,0.24713720591297103,0.2821153445763065,0.4291068082448469,Medium Protein
167675,12.9,16.36,23.99,295.0,0.9,"Restaurant, Chinese, general tso's chicken",54.15,5.349048050770626,0.23390752493200365,0.2966455122393472,0.43499546690843155,Medium Protein
167676,9.76,6.98,6.87,129.0,1.5,"Restaurant, Chinese, kung pao chicken",25.110000000000003,4.940635771734967,0.3738031405591727,0.26733052470317886,0.26311757947146686,High Protein
167677,4.77,2.35,20.16,121.0,1.3,"Restaurant, Chinese, vegetable lo mein, without meat",28.580000000000002,4.090601757944557,0.16125760649087217,0.07944557133198106,0.6815415821501014,Medium Protein
167678,8.18,4.56,5.38,95.0,0.9,"Restaurant, Chinese, chicken and vegetables",19.019999999999996,4.745254745254746,0.40859140859140863,0.2277722277722278,0.2687312687312688,High Protein
167679,14.46,12.68,22.46,262.0,0.8,"Restaurant, Chinese, orange chicken",50.4,5.09727626459144,0.2813229571984436,0.24669260700389106,0.4369649805447471,High Protein
167680,5.79,3.59,16.4,121.0,1.6,"Restaurant, Italian, spaghetti with meat sauce",27.38,4.263565891472869,0.2040169133192389,0.12649753347427767,0.5778717406624383,Medium Protein
167681,0.45,0.04,87.38,218.0,0.1,"Beverages, fruit-flavored drink, dry powdered mix, low calorie, with aspartame",87.96999999999998,2.4502641339777456,0.005057884680229292,0.00044958974935371484,0.98212880746319,Low Protein
167682,0.0,0.0,2.1,11.0,2.1,"Pectin, liquid",4.2,2.1153846153846154,0.0,0.0,0.40384615384615385,Low Protein
167683,6.4,10.1,26.11,221.0,0.8,"Frozen novelties, ice cream type, vanilla ice cream, light, no sugar added, chocolate coated",43.41,4.9763566764242295,0.14411168655708176,0.22742625534789462,0.5879306462508445,Low Protein
167684,1.5,14.0,7.0,160.0,0.0,"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie",22.5,6.808510638297872,0.06382978723404255,0.5957446808510638,0.2978723404255319,Low Protein
167685,11.5,19.3,2.6,230.0,0.0,"Bologna, beef and pork, low fat",33.4,6.686046511627907,0.3343023255813954,0.561046511627907,0.07558139534883722,High Protein
167686,4.3,1.0,37.7,167.0,0.0,"Milk dessert, frozen, milk-fat free, chocolate",43.0,3.7954545454545454,0.09772727272727272,0.022727272727272728,0.8568181818181819,Low Protein
167687,3.0,13.1,23.6,224.0,0.0,"Whipped topping, frozen, low fat",39.7,5.503685503685503,0.07371007371007371,0.3218673218673218,0.5798525798525799,Low Protein
167688,1.9,15.7,73.4,431.0,0.0,"Cream substitute, powdered, light",91.0,4.684782608695652,0.020652173913043477,0.17065217391304346,0.7978260869565218,Low Protein
167689,10.16,29.32,56.89,529.0,4.0,"Candies, MARS SNACKFOOD US, M&M's Peanut Butter Chocolate Candies",100.37,5.218506461477754,0.10022689158528164,0.289237446976423,0.5612114037683733,Low Protein
167690,0.8,1.6,19.5,93.0,0.5,"Babyfood, apple yogurt dessert, strained",22.4,3.9743589743589745,0.03418803418803419,0.06837606837606838,0.8333333333333334,Low Protein
